Year,Age Groups,Gender,Deaths
1999,0-24,Female,0
1999,0-24,Male,12
1999,25-64,Female,119
1999,25-64,Male,144
1999,65+,Female,1103
1999,65+,Male,1056
2000,0-24,Female,10
2000,0-24,Male,21
2000,25-64,Female,134
2000,25-64,Male,162
2000,65+,Female,1106
2000,65+,Male,1024
2001,0-24,Female,0
2001,0-24,Male,19
2001,25-64,Female,127
2001,25-64,Male,157
2001,65+,Female,1092
2001,65+,Male,984
2002,0-24,Female,11
2002,0-24,Male,14
2002,25-64,Female,143
2002,25-64,Male,145
2002,65+,Female,1150
2002,65+,Male,980
2003,0-24,Female,12
2003,0-24,Male,18
2003,25-64,Female,129
2003,25-64,Male,160
2003,65+,Female,1056
2003,65+,Male,989
2004,0-24,Female,0
2004,0-24,Male,13
2004,25-64,Female,128
2004,25-64,Male,157
2004,65+,Female,1025
2004,65+,Male,922
2005,0-24,Female,10
2005,0-24,Male,17
2005,25-64,Female,157
2005,25-64,Male,202
2005,65+,Female,1233
2005,65+,Male,1022
2006,0-24,Female,0
2006,0-24,Male,12
2006,25-64,Female,165
2006,25-64,Male,190
2006,65+,Female,1121
2006,65+,Male,999
2007,0-24,Female,0
2007,0-24,Male,0
2007,25-64,Female,155
2007,25-64,Male,143
2007,65+,Female,999
2007,65+,Male,918
2008,0-24,Female,0
2008,0-24,Male,0
2008,25-64,Female,179
2008,25-64,Male,177
2008,65+,Female,1074
2008,65+,Male,998
2009,0-24,Female,0
2009,0-24,Male,0
2009,25-64,Female,165
2009,25-64,Male,205
2009,65+,Female,1081
2009,65+,Male,964
2010,0-24,Female,0
2010,0-24,Male,0
2010,25-64,Female,147
2010,25-64,Male,143
2010,65+,Female,952
2010,65+,Male,895
2011,0-24,Female,0
2011,0-24,Male,0
2011,25-64,Female,127
2011,25-64,Male,142
2011,65+,Female,1087
2011,65+,Male,931
2012,0-24,Female,0
2012,0-24,Male,0
2012,25-64,Female,137
2012,25-64,Male,143
2012,65+,Female,1012
2012,65+,Male,954
2013,0-24,Female,0
2013,0-24,Male,0
2013,25-64,Female,161
2013,25-64,Male,138
2013,65+,Female,1147
2013,65+,Male,1014
2014,0-24,Female,0
2014,0-24,Male,0
2014,25-64,Female,177
2014,25-64,Male,198
2014,65+,Female,1069
2014,65+,Male,1073
2015,0-24,Female,0
2015,0-24,Male,0
2015,25-64,Female,147
2015,25-64,Male,168
2015,65+,Female,1216
2015,65+,Male,1183
2016,0-24,Female,0
2016,0-24,Male,0
2016,25-64,Female,197
2016,25-64,Male,189
2016,65+,Female,1289
2016,65+,Male,1183
2017,0-24,Female,0
2017,0-24,Male,0
2017,25-64,Female,162
2017,25-64,Male,170
2017,65+,Female,1298
2017,65+,Male,1159
2018,0-24,Female,0
2018,0-24,Male,0
2018,25-64,Female,203
2018,25-64,Male,236
2018,65+,Female,1394
2018,65+,Male,1261
2019,0-24,Female,0
2019,0-24,Male,0
2019,25-64,Female,197
2019,25-64,Male,229
2019,65+,Female,1280
2019,65+,Male,1230
2020,0-24,Female,0
2020,0-24,Male,0
2020,25-64,Female,243
2020,25-64,Male,314
2020,65+,Female,1354
2020,65+,Male,1328
