"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	12	25147	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	15	231425	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	17	239273	Unreliable
	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	36	180536	19.9
	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	43	173070	24.8
	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	68	122385	55.6
	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	84	111027	75.7
	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	235	102253	229.8
	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	289	86968	332.3
	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	460	74473	617.7
	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	445	53824	826.8
	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	408	26365	1547.5
	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	322	12489	2578.3
	"2000"	"2000"	"< 1 year"	"1"	"Female"	"F"	10	23893	Unreliable
	"2000"	"2000"	"< 1 year"	"1"	"Male"	"M"	21	25215	83.3
	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	12	233654	Unreliable
	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	24	242253	9.9
	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	38	187017	20.3
	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	29	179447	16.2
	"2000"	"2000"	"55-64 years"	"55-64"	"Female"	"F"	84	126369	66.5
	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	109	114733	95.0
	"2000"	"2000"	"65-74 years"	"65-74"	"Female"	"F"	233	101753	229.0
	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	272	87063	312.4
	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	445	75579	588.8
	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	457	54457	839.2
	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	428	27185	1574.4
	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	295	12942	2279.4
	"2001"	"2001"	"< 1 year"	"1"	"Male"	"M"	19	28186	Unreliable
	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	13	238613	Unreliable
	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	24	247047	9.7
	"2001"	"2001"	"45-54 years"	"45-54"	"Female"	"F"	24	198803	12.1
	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	41	190321	21.5
	"2001"	"2001"	"55-64 years"	"55-64"	"Female"	"F"	90	133079	67.6
	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	92	121293	75.8
	"2001"	"2001"	"65-74 years"	"65-74"	"Female"	"F"	229	102660	223.1
	"2001"	"2001"	"65-74 years"	"65-74"	"Male"	"M"	269	88232	304.9
	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	458	77524	590.8
	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	433	56545	765.8
	"2001"	"2001"	"85+ years"	"85+"	"Female"	"F"	405	28138	1439.3
	"2001"	"2001"	"85+ years"	"85+"	"Male"	"M"	282	13548	2081.5
	"2002"	"2002"	"< 1 year"	"1"	"Female"	"F"	11	26993	Unreliable
	"2002"	"2002"	"< 1 year"	"1"	"Male"	"M"	14	27883	Unreliable
	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	18	241502	Unreliable
	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	16	249511	Unreliable
	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	33	204158	16.2
	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	40	195525	20.5
	"2002"	"2002"	"55-64 years"	"55-64"	"Female"	"F"	92	142943	64.4
	"2002"	"2002"	"55-64 years"	"55-64"	"Male"	"M"	89	130551	68.2
	"2002"	"2002"	"65-74 years"	"65-74"	"Female"	"F"	220	104202	211.1
	"2002"	"2002"	"65-74 years"	"65-74"	"Male"	"M"	223	89670	248.7
	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	470	78814	596.3
	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	454	57534	789.1
	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	460	28411	1619.1
	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	303	14033	2159.2
	"2003"	"2003"	"< 1 year"	"1"	"Female"	"F"	12	27609	Unreliable
	"2003"	"2003"	"< 1 year"	"1"	"Male"	"M"	18	28744	Unreliable
	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	14	243507	Unreliable
	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	25	251186	10.0
	"2003"	"2003"	"45-54 years"	"45-54"	"Female"	"F"	33	210713	15.7
	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	32	201552	15.9
	"2003"	"2003"	"55-64 years"	"55-64"	"Female"	"F"	82	152316	53.8
	"2003"	"2003"	"55-64 years"	"55-64"	"Male"	"M"	103	138643	74.3
	"2003"	"2003"	"65-74 years"	"65-74"	"Female"	"F"	207	105944	195.4
	"2003"	"2003"	"65-74 years"	"65-74"	"Male"	"M"	229	91795	249.5
	"2003"	"2003"	"75-84 years"	"75-84"	"Female"	"F"	436	79882	545.8
	"2003"	"2003"	"75-84 years"	"75-84"	"Male"	"M"	457	58902	775.9
	"2003"	"2003"	"85+ years"	"85+"	"Female"	"F"	413	29318	1408.7
	"2003"	"2003"	"85+ years"	"85+"	"Male"	"M"	303	14735	2056.3
	"2004"	"2004"	"< 1 year"	"1"	"Male"	"M"	13	29213	Unreliable
	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	16	247642	Unreliable
	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	14	255592	Unreliable
	"2004"	"2004"	"45-54 years"	"45-54"	"Female"	"F"	37	217730	17.0
	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	51	208631	24.4
	"2004"	"2004"	"55-64 years"	"55-64"	"Female"	"F"	75	162217	46.2
	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	92	147074	62.6
	"2004"	"2004"	"65-74 years"	"65-74"	"Female"	"F"	205	109021	188.0
	"2004"	"2004"	"65-74 years"	"65-74"	"Male"	"M"	205	94570	216.8
	"2004"	"2004"	"75-84 years"	"75-84"	"Female"	"F"	432	80743	535.0
	"2004"	"2004"	"75-84 years"	"75-84"	"Male"	"M"	423	60212	702.5
	"2004"	"2004"	"85+ years"	"85+"	"Female"	"F"	388	30227	1283.6
	"2004"	"2004"	"85+ years"	"85+"	"Male"	"M"	294	15229	1930.5
	"2005"	"2005"	"< 1 year"	"1"	"Female"	"F"	10	29514	Unreliable
	"2005"	"2005"	"< 1 year"	"1"	"Male"	"M"	17	29942	Unreliable
	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	12	274576	Unreliable
	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	15	255037	Unreliable
	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	15	262658	Unreliable
	"2005"	"2005"	"45-54 years"	"45-54"	"Female"	"F"	28	226975	12.3
	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	57	218548	26.1
	"2005"	"2005"	"55-64 years"	"55-64"	"Female"	"F"	114	173151	65.8
	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	118	156607	75.3
	"2005"	"2005"	"65-74 years"	"65-74"	"Female"	"F"	276	112531	245.3
	"2005"	"2005"	"65-74 years"	"65-74"	"Male"	"M"	261	97782	266.9
	"2005"	"2005"	"75-84 years"	"75-84"	"Female"	"F"	463	82729	559.7
	"2005"	"2005"	"75-84 years"	"75-84"	"Male"	"M"	460	61937	742.7
	"2005"	"2005"	"85+ years"	"85+"	"Female"	"F"	494	31394	1573.5
	"2005"	"2005"	"85+ years"	"85+"	"Male"	"M"	301	16378	1837.8
	"2006"	"2006"	"< 1 year"	"1"	"Male"	"M"	12	31013	Unreliable
	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	14	260535	Unreliable
	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	20	268652	7.4
	"2006"	"2006"	"45-54 years"	"45-54"	"Female"	"F"	42	235197	17.9
	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	44	226633	19.4
	"2006"	"2006"	"55-64 years"	"55-64"	"Female"	"F"	109	183249	59.5
	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	126	165136	76.3
	"2006"	"2006"	"65-74 years"	"65-74"	"Female"	"F"	237	115636	205.0
	"2006"	"2006"	"65-74 years"	"65-74"	"Male"	"M"	253	100593	251.5
	"2006"	"2006"	"75-84 years"	"75-84"	"Female"	"F"	484	82649	585.6
	"2006"	"2006"	"75-84 years"	"75-84"	"Male"	"M"	461	62607	736.3
	"2006"	"2006"	"85+ years"	"85+"	"Female"	"F"	400	32759	1221.0
	"2006"	"2006"	"85+ years"	"85+"	"Male"	"M"	285	17441	1634.1
	"2007"	"2007"	"35-44 years"	"35-44"	"Female"	"F"	13	262670	Unreliable
	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	11	268723	Unreliable
	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	46	242461	19.0
	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	33	234462	14.1
	"2007"	"2007"	"55-64 years"	"55-64"	"Female"	"F"	96	190326	50.4
	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	99	171505	57.7
	"2007"	"2007"	"65-74 years"	"65-74"	"Female"	"F"	213	119826	177.8
	"2007"	"2007"	"65-74 years"	"65-74"	"Male"	"M"	218	103729	210.2
	"2007"	"2007"	"75-84 years"	"75-84"	"Female"	"F"	419	82575	507.4
	"2007"	"2007"	"75-84 years"	"75-84"	"Male"	"M"	399	63342	629.9
	"2007"	"2007"	"85+ years"	"85+"	"Female"	"F"	367	34070	1077.2
	"2007"	"2007"	"85+ years"	"85+"	"Male"	"M"	301	18356	1639.8
	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	11	263316	Unreliable
	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	13	267884	Unreliable
	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	46	248318	18.5
	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	47	240845	19.5
	"2008"	"2008"	"55-64 years"	"55-64"	"Female"	"F"	122	196542	62.1
	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	117	176874	66.1
	"2008"	"2008"	"65-74 years"	"65-74"	"Female"	"F"	227	126410	179.6
	"2008"	"2008"	"65-74 years"	"65-74"	"Male"	"M"	244	109121	223.6
	"2008"	"2008"	"75-84 years"	"75-84"	"Female"	"F"	411	82580	497.7
	"2008"	"2008"	"75-84 years"	"75-84"	"Male"	"M"	409	64037	638.7
	"2008"	"2008"	"85+ years"	"85+"	"Female"	"F"	436	35352	1233.3
	"2008"	"2008"	"85+ years"	"85+"	"Male"	"M"	345	19149	1801.7
	"2009"	"2009"	"25-34 years"	"25-34"	"Female"	"F"	10	271174	Unreliable
	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	11	277454	Unreliable
	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	10	262730	Unreliable
	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	13	265931	Unreliable
	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	39	252996	15.4
	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	47	245842	19.1
	"2009"	"2009"	"55-64 years"	"55-64"	"Female"	"F"	106	203618	52.1
