"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	Suppressed	23873	Suppressed
	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	12	25147	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	Suppressed	91832	Suppressed
	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	Suppressed	96120	Suppressed
	"1999"	"1999"	"5-14 years"	"5-14"	"Female"	"F"	Suppressed	216472	Suppressed
	"1999"	"1999"	"5-14 years"	"5-14"	"Male"	"M"	Suppressed	227696	Suppressed
	"1999"	"1999"	"15-24 years"	"15-24"	"Male"	"M"	Suppressed	223170	Suppressed
	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	Suppressed	231678	Suppressed
	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	Suppressed	252172	Suppressed
	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	15	231425	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	17	239273	Unreliable
	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	36	180536	19.9
	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	43	173070	24.8
	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	68	122385	55.6
	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	84	111027	75.7
	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	235	102253	229.8
	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	289	86968	332.3
	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	460	74473	617.7
	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	445	53824	826.8
	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	408	26365	1547.5
	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	322	12489	2578.3
	"2000"	"2000"	"< 1 year"	"1"	"Female"	"F"	10	23893	Unreliable
	"2000"	"2000"	"< 1 year"	"1"	"Male"	"M"	21	25215	83.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Female"	"F"	Suppressed	94276	Suppressed
	"2000"	"2000"	"1-4 years"	"1-4"	"Male"	"M"	Suppressed	98590	Suppressed
	"2000"	"2000"	"5-14 years"	"5-14"	"Female"	"F"	Suppressed	224270	Suppressed
	"2000"	"2000"	"5-14 years"	"5-14"	"Male"	"M"	Suppressed	236008	Suppressed
	"2000"	"2000"	"15-24 years"	"15-24"	"Female"	"F"	Suppressed	208700	Suppressed
	"2000"	"2000"	"15-24 years"	"15-24"	"Male"	"M"	Suppressed	230416	Suppressed
	"2000"	"2000"	"25-34 years"	"25-34"	"Female"	"F"	Suppressed	232980	Suppressed
	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	Suppressed	255349	Suppressed
